GLOBALEVENTID,SQLDATE,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,DATEADDED,SOURCEURL,event_date,dateadded,quad_label,event_category,attention_score,negative_tone,is_conflict,is_material_conflict,is_diplomacy,is_protest,hour_added,weekday,week
1304381797,20250516,202505,2025,AUSTRALIA,AUS,,,161,161,16,4,-4.0,4,1,4,-2.65734265734266,"Bondi Beach, New South Wales, Australia",AS,-33.8902,151.276,20260516061500,https://www.brisbanetimes.com.au/national/queensland/shame-on-you-premier-and-pro-palestine-activist-clash-at-stafford-byelection-booth-20260516-p5zxq2.html,2025-05-16,2026-05-16 06:15:00,Material Conflict,Other Conflict,3.9120230054281455,2.65734265734266,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381798,20250516,202505,2025,ADMINISTRATION,,VENEZUELAN,VEN,138,138,13,3,-7.0,3,1,3,-3.93391030684501,"Ohio, United States",US,40.3736,-82.7755,20260516061500,https://www.mariettatimes.com/opinion/local-columns/2026/05/mov-climate-corner-ai-data-centers-a-dangerous-plague/,2025-05-16,2026-05-16 06:15:00,Verbal Conflict,Other Conflict,3.465735902799726,3.93391030684501,1,0,0,0,6,Friday,2025-05-12/2025-05-18
1304381799,20250516,202505,2025,PALESTINIAN,PSE,PRESIDENT,,173,173,17,4,-5.0,2,1,2,-6.57894736842105,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/pro-gaza-activist-seeks-to-reopen-case-over-trump-influence-claim,2025-05-16,2026-05-16 06:15:00,Material Conflict,Coercion,2.8903717578961645,6.57894736842105,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381800,20250516,202505,2025,PALESTINIAN,PSE,PRESIDENT,,174,174,17,4,-5.0,2,1,2,-6.57894736842105,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/pro-gaza-activist-seeks-to-reopen-case-over-trump-influence-claim,2025-05-16,2026-05-16 06:15:00,Material Conflict,Coercion,2.8903717578961645,6.57894736842105,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381801,20250516,202505,2025,PALESTINIAN,PSE,PAKISTAN,PAK,173,173,17,4,-5.0,2,1,2,-6.57894736842105,Pakistan,PK,30.0,70.0,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/pro-gaza-activist-seeks-to-reopen-case-over-trump-influence-claim,2025-05-16,2026-05-16 06:15:00,Material Conflict,Coercion,2.8903717578961645,6.57894736842105,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381802,20250516,202505,2025,UNITED STATES,USA,PRESIDENT,,173,173,17,4,-5.0,4,1,4,-6.57894736842105,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/pro-gaza-activist-seeks-to-reopen-case-over-trump-influence-claim,2025-05-16,2026-05-16 06:15:00,Material Conflict,Coercion,3.9120230054281455,6.57894736842105,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381803,20250516,202505,2025,UNITED STATES,USA,PRESIDENT,,174,174,17,4,-5.0,4,1,4,-6.57894736842105,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/pro-gaza-activist-seeks-to-reopen-case-over-trump-influence-claim,2025-05-16,2026-05-16 06:15:00,Material Conflict,Coercion,3.9120230054281455,6.57894736842105,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381804,20250516,202505,2025,THE US,USA,MILITANT,,190,190,19,4,-10.0,1,1,1,-2.3121387283237,Nigeria,NI,10.0,8.0,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/trump-says-isis-second-in-command-abu-bilal-al-minuki-eliminated,2025-05-16,2026-05-16 06:15:00,Material Conflict,Conflict / Violence,2.0794415416798357,2.3121387283237,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381805,20250516,202505,2025,THE US,USA,MILITANT,,190,190,19,4,-10.0,4,1,4,-2.3121387283237,Nigeria,NI,10.0,8.0,20260516061500,https://www.pakistantoday.com.pk/2026/05/16/trump-says-isis-second-in-command-abu-bilal-al-minuki-eliminated,2025-05-16,2026-05-16 06:15:00,Material Conflict,Conflict / Violence,3.9120230054281455,2.3121387283237,1,1,0,0,6,Friday,2025-05-12/2025-05-18
1304381806,20250516,202505,2025,VENEZUELA,VEN,ADMINISTRATION,,138,138,13,3,-7.0,2,1,2,-3.93391030684501,Venezuela,VE,8.0,-66.0,20260516061500,https://www.mariettatimes.com/opinion/local-columns/2026/05/mov-climate-corner-ai-data-centers-a-dangerous-plague/,2025-05-16,2026-05-16 06:15:00,Verbal Conflict,Other Conflict,2.8903717578961645,3.93391030684501,1,0,0,0,6,Friday,2025-05-12/2025-05-18
