ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions
AE,200,-0.06059741936362767,-0.183823529411765,0.215,0.1,0.015,0.545,1.3625,3.988171331337238,1052
AF,359,-3.8468190126270785,-4.47400241837969,0.3593314763231198,0.2618384401114206,0.008356545961002786,0.3816155988857939,-0.4596100278551532,3.8914835197089808,1753
AG,43,-0.9915086430913037,-2.93724966622163,0.3023255813953488,0.13953488372093023,0.0,0.4418604651162791,-0.020930232558139583,3.9179436327474786,211
AJ,143,-1.3359631575131448,-0.389105058365759,0.1958041958041958,0.1048951048951049,0.006993006993006993,0.5034965034965035,1.420979020979021,3.5691047904845488,568
AM,113,-2.489772727335784,-2.98507462686567,0.2920353982300885,0.13274336283185842,0.008849557522123894,0.46017699115044247,1.1575221238938052,3.3361517329664947,384
AN,20,-0.53648068669528,-0.53648068669528,0.4,0.1,0.2,0.4,-0.425,3.0091042110494644,51
AO,24,-1.777654995989251,-4.06091370558376,0.041666666666666664,0.0,0.0,0.6666666666666666,2.5208333333333335,4.612955748417458,163
AR,119,-1.5960681735934448,-0.75949367088608,0.2605042016806723,0.11764705882352941,0.0,0.42857142857142855,0.7134453781512605,3.4276375276005444,421
AS,2395,-1.1509334099048576,-1.22699386503068,0.23089770354906053,0.11356993736951983,0.010438413361169102,0.42004175365344465,0.7279331941544884,4.287784930722916,17403
AU,70,-0.36071077194906537,-0.45977011494253,0.17142857142857143,0.08571428571428572,0.0,0.45714285714285713,1.4285714285714286,4.091093284121421,372
AY,24,0.3835336967211375,0.0,0.125,0.041666666666666664,0.0,0.6666666666666666,1.5250000000000001,4.305126233400604,256
BA,33,0.14301828788594234,2.27272727272727,0.21212121212121213,0.09090909090909091,0.0,0.30303030303030304,0.9272727272727274,4.707590424089466,270
BB,22,-2.8081821300869723,-3.45911949685535,0.3181818181818182,0.09090909090909091,0.0,0.4090909090909091,0.759090909090909,3.630665928453888,99
BD,52,-0.7329378531749149,0.92297913673251,0.23076923076923078,0.15384615384615385,0.0,0.4423076923076923,0.9153846153846155,3.9040284524873172,248
BE,188,-1.9425405736913652,-1.7720103578154451,0.2127659574468085,0.10106382978723404,0.005319148936170213,0.5,1.0015957446808512,3.6684783725644627,791
BF,99,-1.8805816300773157,0.0,0.1717171717171717,0.09090909090909091,0.0,0.3939393939393939,1.3707070707070705,3.7207408262520585,416
BG,310,-1.7104453698616109,-2.10526315789474,0.3064516129032258,0.16129032258064516,0.025806451612903226,0.3870967741935484,0.06516129032258063,4.032779909495577,1637
BH,64,-1.2205560213050086,-0.8012820512820515,0.203125,0.09375,0.0,0.453125,0.75,4.128782395031079,344
BL,29,-4.455581482718319,-1.6867469879518,0.41379310344827586,0.3103448275862069,0.0,0.3448275862068966,-0.8482758620689655,3.9910739503139423,139
BM,73,-2.9850371368439093,-2.08747514910537,0.3013698630136986,0.2328767123287671,0.0136986301369863,0.4520547945205479,-0.14383561643835618,3.8102622134644166,329
BN,23,-2.509088322229874,-2.87539936102236,0.43478260869565216,0.30434782608695654,0.0,0.17391304347826086,-1.5086956521739132,3.50969512547465,81
BO,83,-6.077273350488274,-5.85034013605442,0.5180722891566265,0.08433734939759036,0.0,0.1566265060240964,-0.9951807228915662,3.4084441906876264,296
BR,298,-1.635839056700115,-1.52557081889236,0.19463087248322147,0.0738255033557047,0.003355704697986577,0.36577181208053694,1.4308724832214765,3.82166659458719,1392
BU,28,0.3160810786482501,0.28901734104046,0.03571428571428571,0.0,0.0,0.5714285714285714,2.0107142857142857,3.566451611638546,112
BX,99,4.201171363282768,5.15759312320917,0.050505050505050504,0.04040404040404041,0.0,0.8484848484848485,2.3777777777777778,3.689454381607691,439
BY,32,-5.986533047150863,-6.92307692307692,0.0,0.0,0.0,0.9375,2.9187499999999997,3.711673866792938,128
CA,2772,-0.9756736647572478,-0.88977867856337,0.21717171717171718,0.12229437229437229,0.00468975468975469,0.39141414141414144,0.8347763347763347,3.996670595039652,14719
CB,138,-0.998762313979502,-2.19378427787934,0.26811594202898553,0.10869565217391304,0.007246376811594203,0.4927536231884058,0.6594202898550725,3.6781879992218847,581
CD,61,-5.007514525796165,-4.95689655172413,0.4426229508196721,0.32786885245901637,0.0,0.14754098360655737,-1.9950819672131148,3.352849393450174,199
CE,397,-1.329678321114968,-1.81818181818182,0.20654911838790932,0.07556675062972293,0.005037783375314861,0.40302267002518893,1.1894206549118387,4.328940494345146,2505
CF,74,-3.5070880968887956,-3.111845137501915,0.20270270270270271,0.13513513513513514,0.013513513513513514,0.5405405405405406,0.8027027027027027,3.580011104559621,307
CG,26,-3.0344073823936104,-3.07052249751379,0.34615384615384615,0.19230769230769232,0.038461538461538464,0.4230769230769231,0.3692307692307693,3.4453916623901932,95
CH,2232,-1.0098803919629626,-1.20192307692308,0.21818996415770608,0.09094982078853046,0.0062724014336917565,0.4592293906810036,1.201836917562724,3.7272316334899513,10013
CI,62,-1.7758033540967972,-1.42348754448399,0.16129032258064516,0.14516129032258066,0.0,0.5483870967741935,0.9790322580645161,4.311534333081089,387
CJ,22,-1.2667205173857377,-1.80072028811524,0.13636363636363635,0.09090909090909091,0.0,0.4090909090909091,1.5454545454545454,4.328383428230224,125
CM,25,-2.1626141069605307,-1.63551401869159,0.12,0.08,0.0,0.44,3.428,3.935574405343534,113
CO,127,-4.034115708139357,-3.40909090909091,0.4330708661417323,0.2755905511811024,0.007874015748031496,0.30708661417322836,-0.5834645669291338,3.437718203974877,447
CS,41,1.4029012596484145,1.58730158730158,0.5853658536585366,0.12195121951219512,0.0,0.3170731707317073,-1.7780487804878051,3.569840202792868,156
CU,281,-4.567687527438412,-4.8,0.2277580071174377,0.08896797153024912,0.0071174377224199285,0.3167259786476868,1.1526690391459073,3.7814716259758905,1268
