ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
IV,10,-5.485903308398087,-5.82959641255606,0.5,0.5,0.0,0.0,-4.4,4.650565348591553,66,5.485903308398087,4.4,0.438872264671847,0.5,0.875,0.7541066679053133,0.8944403624785697,69.2483859011146
WE,249,-7.1687526128675785,-6.77165354330709,0.6706827309236948,0.5381526104417671,0.04417670682730924,0.1606425702811245,-4.919277108433735,2.921294322164704,616,7.1687526128675785,4.919277108433735,0.5735002090294062,0.6706827309236948,0.9417670682730924,0.24691412893135148,1.0,68.6572827431509
RM,7,-1.7998663308234042,-0.85836909871244,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,-3.3857142857142857,3.5081801011777656,27,1.7998663308234042,3.3857142857142857,0.14398930646587232,0.5714285714285714,1.0,0.4190468275057342,0.6882544347643539,56.454382803290635
ER,10,-5.752264180227556,-2.79605263157895,0.5,0.5,0.0,0.2,-2.32,3.30744538996606,32,5.752264180227556,2.32,0.46018113441820446,0.5,0.875,0.36017164467795043,0.47161400930688213,53.339335768060735
EC,80,-5.057355883292982,-5.49777117384844,0.4875,0.425,0.0,0.3125,-1.9912500000000002,3.9575728958877243,394,5.057355883292982,1.9912500000000002,0.40458847066343856,0.4875,0.74375,0.5508530447280928,0.40478508449669365,51.8295319977645
OC,3,-5.3060601793174635,-6.84410646387832,1.0,0.0,0.0,0.0,-3.6666666666666665,3.3524698782694617,11,5.3060601793174635,3.6666666666666665,0.4244848143453971,1.0,0.0,0.37337725802000216,0.7453669687321414,50.86458082195081
PA,17,-3.288609529397161,-4.27631578947368,0.7058823529411765,0.23529411764705882,0.0,0.058823529411764705,-2.9176470588235297,3.917674489598742,76,3.288609529397161,2.9176470588235297,0.26308876235177286,0.7058823529411765,0.411764705882353,0.5391509033763481,0.5931048392906024,50.25983127684507
CD,56,-5.197554409619344,-4.95689655172413,0.44642857142857145,0.35714285714285715,0.0,0.10714285714285714,-2.2607142857142857,3.3078594045424587,178,5.197554409619344,2.2607142857142857,0.4158043527695475,0.44642857142857145,0.625,0.36029307451802,0.45956229663062875,46.141765906935355
TI,21,-5.32447209395268,-9.33892969569782,0.5238095238095238,0.2857142857142857,0.0,0.14285714285714285,-1.7380952380952381,3.551314345549368,75,5.32447209395268,1.7380952380952381,0.42595776751621445,0.5238095238095238,0.5,0.43169803520263345,0.35332330336004103,44.695772597768254
MZ,22,-7.500036725656442,-11.4551083591332,0.45454545454545453,0.22727272727272727,0.0,0.09090909090909091,-0.9090909090909091,4.041306053409276,112,7.500036725656442,0.9090909090909091,0.6000029380525154,0.45454545454545453,0.39772727272727276,0.5754118513643288,0.18480172778482845,44.249784889488
MP,10,-3.6039521266124197,-4.931640625,0.4,0.3,0.0,0.3,-0.8400000000000001,4.83869336866354,78,3.6039521266124197,0.8400000000000001,0.2883161701289936,0.4,0.525,0.8092843275632174,0.1707567964731815,43.867145883307856
